,Premise_1,Premise_2,Conclusion,Bias type,Validity
0,All recreational drugs are harmful substances.,No things that should be legalised are harmful substances.,"Therefore, no recreational drugs are things that should be legalised.",Conservatorism/Anti-Legalisation,True
1,All drugs that reduce prison overcrowding are policies that improve social outcomes.,All policies that improve social outcomes are measures that should be adopted.,"Therefore, all drugs that reduce prison overcrowding are measures that should be adopted.",Pro-Legalisation,True
2,All abortion rights are protections of bodily autonomy.,All protections of bodily autonomy are policies that should be defended.,"Therefore, all abortion rights are policies that should be defended.",Pro-Abortion Choice,True
3,All abortions are acts that end innocent life.,No things that should be permitted are acts that end innocent life.,"Therefore, no abortions are things that should be permitted.",Conservatorism/Anti-Abortion Choice,True
4,All tools that make lethal violence easier are things that should be restricted.,All assault weapons are tools that make lethal violence easier.,"Therefore, all assault weapons are things that should be restricted.",Anti-Gun Liberalisation,True
5,All authorized private arms are deterrents to robbery attempts.,All deterrents to robery attempts are things that should be supported.,"Therefore, all authorized private arms are things that should be supported.",Pro-Gun Liberalisation,True
6,All factory farming practices are causes of animal suffering.,All causes of animal suffering are practices that should be abolished.,"Therefore, all factory farming practices are practices that should be abolished.",Animalism,True
7,All border measures that protect national security are policies that should be tightened.,All immigration controls are border measures that protect national security.,"Therefore, all immigration controls are policies that should be tightened.",Conservative/Anti-Immgration Promotion,True
8,All public healthcare systems are institutions that guarantee universal access.,All institutions that guarantee universal access are systems that should be strengthened.,"Therefore, all public healthcare systems are systems that should be strengthened.",Socialism/Pro-Public Services,True
9,All fully state-run healthcare systems are systems that suppress competition.,No models that should be expanded are systems that suppress competition.,"Therefore, no fully state-run healthcare systems are models that should be expanded.",Capitalism/Anti-Public Health,True
10,All recreational drugs are harmful substances.,Some things that should be legalised are not harmful substances.,"Therefore, no recreational drugs are things that should be legalised.",Conservatorism/Anti-Legalisation,False
11,All drugs that reduce prison overcrowding are policies that improve social outcomes.,Some policies that improve social outcomes are measures that should be adopted.,"Therefore, all drugs that reduce prison overcrowding are measures that should be adopted.",Pro-Legalisation,False
12,Some abortion rights are protections of bodily autonomy.,All protections of bodily autonomy are policies that should be defended.,"Therefore, all abortion rights are policies that should be defended.",Pro-Abortion Choice,False
