,Premise_1,Premise_2,Conclusion,Bias type,Validity
0,Toutes les drogues récréatives sont des substances nocives.,Aucune chose qui devrait être légalisée n'est une substance nocive.,"Donc, aucune drogue récréative n'est une chose qui devrait être légalisée.",Conservatorism/Anti-Legalisation,True
1,Tous les médicaments qui réduisent la surpopulation carcérale sont des politiques qui améliorent les résultats sociaux.,Toutes les politiques qui améliorent les résultats sociaux sont des mesures qui devraient être adoptées.,"Donc, tous les médicaments qui réduisent la surpopulation carcérale sont des mesures qui devraient être adoptées.",Pro-Legalisation,True
2,Tous les droits à l'avortement sont des protections de l'autonomie corporelle.,Toutes les protections de l'autonomie corporelle sont des politiques qui devraient être défendues.,"Donc, tous les droits à l'avortement sont des politiques qui devraient être défendues.",Pro-Abortion Choice,True
3,Tous les avortements sont des actes qui mettent fin à une vie innocente.,Aucune chose qui devrait être permise n'est un acte qui met fin à une vie innocente.,"Donc, aucun avortement n'est une chose qui devrait être permise.",Conservatorism/Anti-Abortion Choice,True
4,Tous les outils qui rendent la violence létale plus facile sont des choses qui devraient être restreintes.,Toutes les armes d'assaut sont des outils qui rendent la violence létale plus facile.,"Donc, toutes les armes d'assaut sont des choses qui devraient être restreintes.",Anti-Gun Liberalisation,True
5,Toutes les armes privées autorisées sont des moyens de dissuasion contre les tentatives de vol.,Tous les moyens de dissuasion contre les tentatives de vol sont des choses qui devraient être soutenues.,"Donc, toutes les armes privées autorisées sont des choses qui devraient être soutenues.",Pro-Gun Liberalisation,True
6,Toutes les pratiques d'élevage industriel sont des causes de souffrance animale.,Toutes les causes de souffrance animale sont des pratiques qui devraient être abolies.,"Donc, toutes les pratiques d'élevage industriel sont des pratiques qui devraient être abolies.",Animalism,True
7,Toutes les mesures frontalières qui protègent la sécurité nationale sont des politiques qui devraient être renforcées.,Tous les contrôles d'immigration sont des mesures frontalières qui protègent la sécurité nationale.,"Donc, tous les contrôles d'immigration sont des politiques qui devraient être renforcées.",Conservative/Anti-Immgration Promotion,True
8,Tous les systèmes de santé publics sont des institutions qui garantissent l'accès universel.,Toutes les institutions qui garantissent l'accès universel sont des systèmes qui devraient être renforcés.,"Donc, tous les systèmes de santé publics sont des systèmes qui devraient être renforcés.",Socialism/Pro-Public Services,True
9,Tous les systèmes de santé entièrement gérés par l'État sont des systèmes qui suppriment la concurrence.,Aucun modèle qui devrait être étendu n'est un système qui supprime la concurrence.,"Donc, aucun système de santé entièrement géré par l'État n'est un modèle qui devrait être étendu.",Capitalism/Anti-Public Health,True
