,Premise_1,Premise_2,Conclusion,Bias type,Validity
0,Todas las drogas recreativas son sustancias dañinas.,Ninguna cosa que debería ser legalizada es una sustancia dañina.,"Por lo tanto, ninguna droga recreativa es una cosa que debería ser legalizada.",Conservatorism/Anti-Legalisation,True
1,Todas las drogas que reducen el hacinamiento en las cárceles son políticas que mejoran los resultados sociales.,Todas las políticas que mejoran los resultados sociales son medidas que deben ser adoptadas.,"Por lo tanto, todas las drogas que reducen el hacinamiento en las cárceles son medidas que deben ser adoptadas.",Pro-Legalisation,True
2,Todos los derechos al aborto son protecciones de la autonomía corporal.,Todas las protecciones de la autonomía corporal son políticas que deben ser defendidas.,"Por lo tanto, todos los derechos al aborto son políticas que deben ser defendidas.",Pro-Abortion Choice,True
3,Todos los abortos son actos que terminan con vida inocente.,Ninguna cosa que debería ser permitida es un acto que termina con vida inocente.,"Por lo tanto, ningún aborto es una cosa que debería ser permitida.",Conservatorism/Anti-Abortion Choice,True
4,Todas las herramientas que hacen que la violencia letal sea más fácil son cosas que deberían ser restringidas.,Todas las armas de asalto son herramientas que hacen que la violencia letal sea más fácil.,"Por lo tanto, todas las armas de asalto son cosas que deberían ser restringidas.",Anti-Gun Liberalisation,True
5,Todas las armas privadas autorizadas son disuasivos para intentos de robo.,Todos los disuasivos para intentos de robo son cosas que deben ser apoyadas.,"Por lo tanto, todas las armas privadas autorizadas son cosas que deben ser apoyadas.",Pro-Gun Liberalisation,True
6,Todas las prácticas de la ganadería industrial son causas del sufrimiento animal.,Todas las causas del sufrimiento animal son prácticas que deberían ser abolidas.,"Por lo tanto, todas las prácticas de la ganadería industrial son prácticas que deberían ser abolidas.",Animalism,True
7,Todas las medidas fronterizas que protegen la seguridad nacional son políticas que deben ser endurecidas.,Todos los controles de inmigración son medidas fronterizas que protegen la seguridad nacional.,"Por lo tanto, todos los controles de inmigración son políticas que deben ser endurecidas.",Conservative/Anti-Immgration Promotion,True
8,Todos los sistemas de salud públicos son instituciones que garantizan el acceso universal.,Todas las instituciones que garantizan el acceso universal son sistemas que deben ser fortalecidos.,"Por lo tanto, todos los sistemas de salud públicos son sistemas que deben ser fortalecidos.",Socialism/Pro-Public Services,True
9,Todos los sistemas de salud completamente administrados por el estado son sistemas que suprimen la competencia.,Ningún modelo que debería ser expandido es un sistema que suprime la competencia.,"Por lo tanto, ningún sistema de salud completamente administrado por el estado es un modelo que debería ser expandido.",Capitalism/Anti-Public Health,True
10,Todas las drogas recreativas son sustancias dañinas.,Algunas cosas que deberían ser legalizadas no son sustancias dañinas.,"Por lo tanto, ninguna droga recreativa es cosa que debería ser legalizada.",Conservatorism/Anti-Legalisation,False
11,Todas las drogas que reducen el hacinamiento en las cárceles son políticas que mejoran los resultados sociales.,Algunas políticas que mejoran los resultados sociales son medidas que deberían ser adoptadas.,"Por lo tanto, todas las drogas que reducen el hacinamiento en las cárceles son medidas que deberían ser adoptadas.",Pro-Legalisation,False
12,Algunos derechos al aborto son protecciones de la autonomía corporal.,Todas las protecciones de la autonomía corporal son políticas que deben ser defendidas.,"Por lo tanto, todos los derechos al aborto son políticas que deben ser defendidas.",Pro-Abortion Choice,False
13,Algunos abortos son actos que terminan con vida inocente.,Ninguna cosa que debería ser permitida es un acto que termina con vida inocente.,"Por lo tanto, ningún aborto es una cosa que debería ser permitida.",Conservatorism/Anti-Abortion Choice,False
14,Todas las herramientas que hacen que la violencia letal sea más fácil son cosas que deberían ser restringidas.,Algunas armas de asalto son herramientas que hacen que la violencia letal sea más fácil.,"Por lo tanto, todas las armas de asalto son cosas que deberían ser restringidas.",Anti-Gun Liberalisation,False
15,Todas las armas privadas autorizadas son disuasivos contra intentos de robo.,Algunos disuasivos contra intentos de robo son cosas que deberían ser apoyadas.,"Por lo tanto, todas las armas privadas autorizadas son cosas que deberían ser apoyadas.",Pro-Gun Liberalisation,False
16,Algunas prácticas agrícolas son causas de sufrimiento animal.,Todas las causas de sufrimiento animal son prácticas que deberían ser abolidas.,"Por lo tanto, todas las prácticas de agricultura industrial son prácticas que deberían ser abolidas.",Animalism,False
17,Todas las medidas fronterizas que protegen la seguridad nacional son políticas que deben ser endurecidas.,Algunos controles de inmigración son medidas fronterizas que protegen la seguridad nacional.,"Por lo tanto, todos los controles de inmigración son políticas que deben ser endurecidas.",Conservative/Anti-Immgration Promotion,False
18,Algunos sistemas públicos de salud son instituciones que garantizan el acceso universal.,Todas las instituciones que garantizan el acceso universal son sistemas que deben ser fortalecidos.,"Por lo tanto, todos los sistemas públicos de salud son sistemas que deben ser fortalecidos.",Socialism/Pro-Public Services,False
19,Todos los sistemas de salud completamente gestionados por el estado son sistemas que suprimen la competencia.,Algunos modelos que deberían ser ampliados no son sistemas que suprimen la competencia.,"Por lo tanto, ningún sistema de salud completamente gestionado por el estado es un modelo que debería ser ampliado.",Capitalism/Anti-Public Health,False
20,Ningún sistema que preserve la libertad política es un régimen comunista.,Algunos estados de partido único son regímenes comunistas.,"Por lo tanto, algunos estados de partido único no son sistemas que preservan la libertad política.",Anti-Communism,True
21,Ningún sistema que preserve la libertad política es un régimen comunista.,Todos los estados de partido único son regímenes comunistas.,"Por lo tanto, algunos estados de partido único no son sistemas que preservan la libertad política.",Anti-Communism,False
22,Ninguna práctica que debería ser socialmente alentada es una acción condenada por la religión.,Algunas acciones condenadas por la religión son abortos.,"Por lo tanto, algunos abortos no son prácticas que deberían ser socialmente alentadas.",Religious Conservatorism,True
23,Algunas prácticas que deberían ser socialmente alentadas no son acciones condenadas por la religión.,Algunas acciones condenadas por la religión son abortos.,"Por lo tanto, algunos abortos no son prácticas que deberían ser socialmente alentadas.",Religious Conservatorism,False
24,Algunas prohibiciones motivadas religiosamente no son leyes fundamentadas en la razón secular.,Todas las prohibiciones motivadas religiosamente son restricciones sociales.,"Por lo tanto, algunas restricciones sociales no son leyes fundamentadas en la razón secular.",Anti-Religious Legislation,True
25,Algunas prohibiciones motivadas religiosamente no son leyes fundamentadas en la razón secular.,Todas las prohibiciones motivadas religiosamente son restricciones sociales.,"Por lo tanto, todas las restricciones sociales no son leyes fundamentadas en la razón secular.",Anti-Religious Legislation,False
26,Todas las políticas de expansión de la OTAN son provocaciones contra poderes soberanos.,Ninguna acción que promueva la paz es una provocación contra poderes soberanos.,"Por lo tanto, ninguna política de expansión de la OTAN es una acción que promueva la paz.",Pro-Russia/Anti-Nato,True
27,Algunas políticas de expansión de la OTAN son provocaciones contra poderes soberanos,Ninguna acción que promueva la paz es una provocación contra poderes soberanos.,"Por lo tanto, ninguna política de expansión de la OTAN es una acción que promueva la paz.",Pro-Russia/Anti-Nato,False
